tweet_id,retweet_count,favorite_count
892420643555336193,8174,37511
892177421306343426,6051,32254
891815181378084864,4003,24295
891689557279858688,8327,40837
891327558926688256,9023,39057
891087950875897856,2997,19630
890971913173991426,1984,11469
890729181411237888,18165,63266
890609185150312448,4115,26997
890240255349198849,7101,30931
890006608113172480,7059,29751
889880896479866881,4791,26999
889665388333682689,9662,46622
889638837579907072,4368,26281
889531135344209921,2169,14650
889278841981685760,5183,24480
888917238123831296,4340,28237
888804989199671297,4125,24787
888554962724278272,3402,19231
888078434458587136,3357,21100
887705289381826560,5179,29296
887517139158093824,11273,44909
887473957103951883,17485,66819
887343217045368832,10047,32654
887101392804085760,5733,29663
886983233522544640,7466,34026
886736880519319552,3140,11664
886680336477933568,4298,21764
886366144734445568,3084,20528
886267009285017600,4,116
886258384151887873,6076,27149
886054160059072513,105,0
885984800019947520,6530,31623
885528943205470208,6190,34897
885518971528720385,3612,19822
885311592912609280,17863,0
885167619883638784,4222,21251
884925521741709313,17564,75008
884876753390489601,5412,27048
884562892145688576,4515,23548
884441805382717440,5466,26199
884247878851493888,19780,70706
884162670584377345,2875,19756
883838122936631299,3322,21215
883482846933004288,9560,44527
883360690899218434,3579,22004
883117836046086144,6424,36039
882992080364220416,3780,23213
882762694511734784,4725,27434
882627270321602560,5874,27100
882268110199369728,11188,43558
882045870035918850,4776,28462
881906580714921986,3278,23580
881666595344535552,10310,49091
881633300179243008,7,121
881536004380872706,15397,47921
881268444196462592,5012,22446
880935762899988482,2691,16538
880872448815771648,3694,20637
880465832366813184,6049,27667
880221127280381952,4072,26216
880095782870896641,4187,26799
879862464715927552,3379,21671
879674319642796034,10,301
879492040517615616,3073,22741
879415818425184262,42788,102709
879376492567855104,3013,16307
879130579576475649,6580,0
879050749262655488,4545,21868
879008229531029506,2604,18408
878776093423087618,3987,18844
878604707211726852,6954,29321
878404777348136964,1244,0
878316110768087041,6423,0
878281511006478336,1244,7511
878057613040115712,6580,40843
877736472329191424,18456,77340
877611172832227328,78,0
877556246731214848,3679,22070
877316821321428993,5029,26612
877201837425926144,5409,26342
876838120628539392,3231,20099
876537666061221889,4492,22889
876484053909872640,2313,18240
876120275196170240,4523,27158
875747767867523072,4153,24483
875144289856114688,4781,21329
875097192612077568,5872,26645
875021211251597312,4579,24769
874680097055178752,4506,27052
874434818259525634,14258,0
874296783580663808,3994,25354
874057562936811520,3837,22093
874012996292530176,10098,33575
873580283840344065,3823,23560
873337748698140672,1541,0
